nombre;direccion;telefono;email;descripcion;;
Pet Shop Happy Dog;EL ALTO 1302, Maipú, Metropolitana De Santiago, Chile;7-7458948;N.MARDONES.23@HOTMAIL.COM;HAPPY DOG ES UNA TIENDA DE ALIMENTO DE MASCOTAS Y ACCESORIOS PARA PERRITOS, GATOS, HAMSTERS, AVES, ENTRE OTROS.;;
Clínica Veterinaria Francal;Avenida Rauquen 1760, Curicó, Maule, Chile;9-9189705;francisco.homero@hotmail.com;Consulta Veterinaria, Farmacia, Distribución de Alimentos y accesorios para mascotas.;;
Aconcaguavet Clínica Y Farmacia Veterinaria;Avenida Chacabuco 301, San Felipe, Valparaiso, Chile;(034)2411091-75552616-90442826-94412454;aconcaguavet@gmail.com;Todo para tu mascota;;
Clínica Veterinaria Iasavet;MANUEL MONTT 75, Buin, Metropolitana De Santiago, Chile;28212861;WWW.DOCTOR@IASAVET.CL;MEDICINA INTERNA CANINOS Y FELINOS, URGENCIAS, CIRUGÍAS, LIMPIEZA DENTAL (DESTARTRAJE), LABORATORIO CLÍNICO, DOMICILIOS, FARMACIA VETERINARIA, PELUQUERÍA.;;
Peludogs Peluquería Para Mascotas;Michimalonco n° 1133, San Pedro De La Paz, Biobío, Chile;413356899;hola@peludogs.cl;Peludogs es la primera Peluquería de Mascotas en Positivo es una forma profesional de realizar las tareas de higiene y estética de la mascota cuyo fundamento es la compresión y el control de los factores que le puedan producir estrés, angustia o miedo. Representa una relación basada en la confianza y la comunicación, una forma de realizar el servicio de que favorece el respeto mutuo y en la que la prioridad absoluta es el bienestar y la seguridad de la mascota. Amamos a los peludos y nos preocupamos que su experiencia sea positiva y que no le teman nunca más volver a la peluquería.;;
Peluqueria Canina Peludog;Doctor Salas 1435, Quilpué, Valparaiso, Chile;8-7714967;peludoog@gmail.com;UTILIZAMOS LA PSICOLOGIA CANINA EN VES DE LA APLICACION DE SEDANTES. UN METODO EFECTIVO, SIN DOLOR Y SIN ESTRES PARA SU MASCOTA.;;
Retratos De Mascotas;Avenida Ricardo Lyon 3392, Ñuñoa, Metropolitana De Santiago, Chile;962253066;serviciodeimagen@gmail.com;Pintamos retratos personalizados de Mascotas. Realizamos en distintos tamaños y formatos (redondos, ovalados, cuadrado o rectangulares. Entrega a todo Chile.;;
Diamond Blue Yorkshire Terrier;Lircay 117, Recoleta, Recoleta, Metropolitana De Santiago, Chile;92503098;contacto@diamondblue.cl;Criamos Yorkshire Terrier de alta selección para show y compañía con el mismo amor, seriedad y la dedicación necesaria para conseguir el más bello ejemplar en un ambiente familiar.;;
Animalpets;Astorga 290, Rancagua, Rancagua, Libertador General Bernardo O'Higgins, Chile;50330265;apmorales68@yahoo.es;;;
La Casa De Tu Mascota;SAN JOSE DE LA ESTRELLA 594, LA FLORIDA, La Florida, Metropolitana De Santiago, Chile;08/2432501;lacasadetumascota@gmail.com;NUESTRA EMPRESA ESTA DEDICADA A SATISFACER LAS NECESIDADES DE TU MASCOTA, EN CUANTO A LA ALIMENTACIÓN (POR SACO Y GRANEL), VESTUARIO Y HERMOSOS ACCESORIOS QUE HARÁN LA VIDA DE TU REGALÓN SEA MUCHO MAS CONFORTABLE.;;
Criadero Akialeroxfig;Avenida Federico Errázuriz 1294, Pudahuel, Metropolitana De Santiago, Chile;89004608;aquilesfigueroa_@hotmail.com;CRIADERO FAMILIAR TENEMOS CACHORRITOS INSCRITOS EN EL KENNEL CLUB Y NO INSCRITOS. Tenemos Razas Medianas y Enanas. los cachorritos se entregan con certificado veterinario. somos serios y responsables.;;
Criadero  Vom Himmelsstrich;Nicanor Plaza 1937, Renca, Metropolitana De Santiago, Chile;74304997;guillermomauricioceballos@gmail.com;Criadero de pastor aleman buscamos las mejores lineas de esta raza somos un criadero q participa activamente en exp. de estructura a nivel nac. y extranjero nuesro fin es mejorar cada dia mas la raza del ovejero aleman, nuestro ejemplares han ganado en varias ocaciones exp. nac.;;
Pet Shop World Pet´s;Esquina Blanca 093 K13, Maipú, Metropolitana De Santiago, Chile;78850813;anitaspicder@gmail.com;se vende todo para su mascota;;
MGVet Puente Alto;Tocornal Grez 283, Puente Alto, Metropolitana De Santiago, Chile;28516893;centroveterinariomgvet@gmail.com;Centro veterinario cuenta con:consulta,  hospital,radiografia, otros examenes complementarios  cirugias basicas y especializadas,especialidad en manejo reproductivo;;
Distribuidora Benji;SARGENTO MENADIER 486, Puente Alto, Metropolitana De Santiago, Chile;62199155;cpino@orionchile.com;VENTA AL POR MAYOR Y MENOR DE ALIMENTO DE MASCOTAS;;
CEDILO;AV.CUARTO CENTENARIO 1047 LAS CONDES, Las Condes, Metropolitana De Santiago, Chile;22241712-098652643;CEDILOVET@GMAIL.COM;CONSULTA, CIRUGIAS, ENDOCRINOLOGIA, PELUQUERIA Y SPA CANINO, VENTA ALIMENTOS Y PET, HOSPITAL, DOMICILIOS;;
Petland;Vergara, Santiago, Metropolitana De Santiago, Chile;951181147;lpena1901@gmail.com;Psicologa, dominicana, amante de los animales, seres especiales con un alma e inocencia única. Pongo a disposición departamento acogedor, sin niños, tengo un perrito llamado Milo, es mi bebé regalón. Cuento con baño de mascotas con césped, parque cercano para paseos y juguetes para entrenamiento. Clínica Veterinaria a pasos del departamento en caso de emergencias. Mimos y cuidados garantizados para tu regalón.;;
Criadero Raza Papillón;Quilapán 6829, Condominio Santa Rosa., Huechuraba, Metropolitana De Santiago, Chile;09-3226045;papillones.chile@gmail.com;Crianza familiar de raza Papillón, de gran belleza y elegancia.;;
Pet Haus Consulta Veterinaria Holística;Avda. Primera Transversal 2635 A Local 2, Maipú, Metropolitana De Santiago, Chile;22317793008-8850161;acevedo_goenaga@yahoo.com;Somos la primera y única Consulta Veterinaria Holística de Maipú con 15 años de experiencia en Homeopatía Veterinaria, Flores de Bach, Aromaterapia y Reiki para mascotas. Entre nuestros servicios tenemos cirugías, destartrajes con ultrasonido, laboratorio, farmacia homeopática y alopática, etc.;;
Total Pets Shop;Tienda Online, Santiago, Metropolitana De Santiago, Chile;932580703;totalpets.shop@gmail.com;Nos dedicamos a la fabricación de rascadores para felinos, con material de calidad al 100%;;
Matias Stevens;Matta 112 Recreo, Viña Del Mar, Valparaiso, Chile;962117884;paseamoscanes@gmail.com;El servicio trata de paseo de perros a domicilio en la region de Valparaiso(Valparaiso, Viña del Mar, Quilpue, Villa Alemana, Reñaca, Con Con). Si no tienes tiempo para darle lo que una mascota necesita en su dia a dia nosotros lo hacemos por ti otorgando confiabilidad, responsabilidad y cuidado de tu mascota.;;
Clínica Veterinaria Atacama Pets;LAS HERAS 344, Copiapó, Atacama, Chile;52-232374;atacamapets@gmail.com;MEDICINA INTERNA Y PREVENTIVA - CIRUGIA - HOSPITALIZACION - HOTELERIA - FARMACIA - VENTA DE ALIMENTO - PETSHOP - DOMICILIOS - URGENCIAS - PELUQUERIA.;;
Criadero Von Peikriverich;Calle San Martin 0691 Villa Los Ciruelos Talagante, Talagante, Metropolitana De Santiago, Chile;87767833;criadero_vonpeikriverich@hotmail.com;Somos un criadero con un gran prestigio y excelente calidad, criamos beagle,shar pei,bulldog ingles,schnauzer miniatura,west highland white terrier,yorkshire terrier,bulldog france,chihuahua,etc;;
Clínica Veterinaria Soc. Agricola Regional;Manuel Rodriguez 481;;;;;
Criadero Petitbijou;Pasaje De Falla 58, Maipú, Metropolitana De Santiago, Chile;77952072;angelitacielo67@gmail.com;criadero familiar con venta ocasional de mascotas, todas hijas de padres inscritos y de mi propiedad, damos garantias sanitarias y salud!;;
Pet Shop Peluso;Av.Einstein 1111, Independencia, Metropolitana De Santiago, Chile;50031551;ventas@peluso.cl;Importadora y distribuidora de accesorios para mascotas. Venta por mayor y detalle;;
Criadero De Pastores Di Canessa;Avenida Eastman n° 2047, Limache, Valparaiso, Chile;56976698800;criaderodicanessa@gmail.com;Cria y venta de cachorros en algunas épocas del año. Pastores Alemanes, Belga Groenendael (Negros), Border Collie  (colores) y Terrier Chileno, manto negro y fuego. Interesados favor coordinar atención, consultas  y reserva al fono.;;
VETAGRO'S;Las Araucarias 4435, Local 2, Villa El Indio, La Serena, La Serena, Coquimbo, Chile;85745256;vetagro.s@gmail.com;Venta de Alimento para perros, gatos, tortugas, peces, hámster y conejos. Venta de productos para la salud e higiene de mascotas. Venta de accesorios para mascotas. Venta de plantas, tierra de hoja, herramientas de jardín, frutas y verduras.;;
Sos Veterinaria Rancagua;Pedro De Valdivia 033, Rancagua/ Capitán Ramón Freire 810 Local 2, Rancagua, Rancagua, Libertador General Bernardo O'Higgins, Chile;72534939;sos.veterinaria.rancagua@gmail.com;Clínica Veterinaria, peluquería canina, hotel, cirugia, homeopatia, venta de alimento y accesorios. REPARTO A DOMICILIO.;;
Insupets Mascotas;Av Las Condes 7411, Las Condes.;;;;;
Muy Bien Pet!;Manolete n° 4070, Ñuñoa, Metropolitana De Santiago, Chile;930908644;muybienpet@gmail.com;Soy Magdalena Prieto Vivanco, Médico Veterinario y Fundadora de Muy Bien Pet!. El año 2009 comenzó este maravilloso camino de formación en el área de comportamiento animal. ;;
La Casa De La Mascota Feliz;Pedro Mira 706, San Miguel, Metropolitana De Santiago, Chile;56228239379;ventas@lacasadelamascotafeliz.cl;La Casa de la Macota Feliz, esta dedicada a la Venta de Alimento A Granel y por saco y de Accesorios para Mascotas, Peros, Gatos, Peces, Ferrets, Aves, etc.;;
Clínica Veterinaria San Francisco De Asís 2;Av. Parque Sur #18484, Ciudad Satélite, Maipú, Maipú, Metropolitana De Santiago, Chile;29340102;sanfranciscodeasis2@gmail.com;Centro Veterinario;;
Clínica Veterinaria Nueva México;Avenida Mexico 3649, Puente Alto, Metropolitana De Santiago, Chile;27929647;hpasten@hotmail.com;DESDE 1980 33 AÑOS DE EXCELENCIA MEDICA;;
Clínica Veterinaria Medical Vet;Luis Barros Borgoño 2620, Maipú, Metropolitana De Santiago, Chile;Fijo:28803403-Celular:81297396;contacto@medicalvet.cl;;;
Edw;Agustinas n° 1022, La Pintana, Metropolitana De Santiago, Chile;46464;wdddww@kmal.pe;efwf;;
Animal World;Av. Santa María 6786 Local 16, Vitacura, Metropolitana De Santiago, Chile;22422906;awveterinaria@gmail.com;Centro veterinario y pets ubicado en Lo Curro;;
MEDICANVET;Portales Oriente n° 1724, San Bernardo, Metropolitana De Santiago, Chile;228414834;veterinariamedicanvet@gmail.com;Entregamos atención veterinaria, desparasitación, cirugías de esterilización y castración, venta de alimentos , fármacos de uso veterinario y peluquería canina.;;
El Bazar De Las Mascotas;Latadia 4219, Las Condes, Metropolitana De Santiago, Chile;56993231200;caritoo.09@gmail.com;Porque amamos a los animales al igual que tu y sabemos que no son sólo mascotas, sino que forman parte de nuestra familia, hemos creado un espacio exclusivamente dedicado para ellos, con productos novedosos que les encantaran y lo mejor de todo es que tenemos los mejores precios del mercado;;
Pet Shop Alimento Mascotas A Domicilio ;Isabel Riquelme Norte 3488, Maipú, Maipú, Metropolitana De Santiago, Chile;56976950367;odre@live.cl;"Pyme familiar ""Vamos a su Hogar"" dedicada a la venta y despacho a domicilio de alimento para mascotas en Maipú, exclusividad sector La Farfana y alrededores.";;
Lorena ;Poeta ángel Ganivet n° 11039 local  11039, Metropolitana De Santiago, Chile;978030503;ferna.patty@gmail.com;Venta de alimentos de mascotas y accesorios ;;
Hotel Claudia Tabilo;Pasaje La Granja 3050 Maipu Santiago, Maipú, Metropolitana De Santiago, Chile;24033820;clau_tab@hotmail.com;Hotel de mascotas, animales exóticos,aves, perros ,gatos,roedores, etc. ;;
Criadero Familiar Delibull;Avda. Gral José San Martín 3293.;;;;;
Pet Shop Estética Canina;Carrascal 5561-a, Quinta Normal, Metropolitana De Santiago, Chile;22-7743058;pelucaninastgo@gmail.com;Peluquería canina servicio entregado al cuidado de su mascota, venta de accesorios y alimentos. Peluquería canina desde los $10.000 mil;;
PONS RAZAS;Camino TUNICHE 1328 VILLA TUNICHE RANCAGUA, Rancagua, Libertador General Bernardo O'Higgins, Chile;78816505;ponsrazas@hotmail.com;Servicio Venta y Distribución de alimentos para Mascotas;;
Clínica Veterinaria Dr. Pet;Padre Hurtado 1621, Las Condes, Metropolitana De Santiago, Chile;22482272;;;;
Kachorro SPA;Avenida La Dehesa n° 1844, Lo Barnechea, Metropolitana De Santiago, Chile;56961451009;info@kachorro.cl;Tienda de alimento para mascotas. La primera tienda de Chile con alimentos 100% natural, libre de conservantes y colorantes.;;
ARF;AVDA VITACURA  7773, Metropolitana De Santiago, Chile;22478718;pablonunezdiaz@gmail.com;Atendemos su pedido solo con productos sellados y almacenados en nuestro local, no compre a ambulantes.;;
Centro Integral De Bienestar Animal (CIBA)-net.médica;Los Leones 2713, Providencia, Metropolitana De Santiago, Chile;24744927;netmedica@vtr.net;Clínica Veterinaira orientada al Bienestar Animal. Ofrecemos Terapia Conductual, Adiestramiento y Escuela de Socialización;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;Huellas de mascotas ofrecer servicio de veterinaria, peluqueria canina, hotel canino, guarderia canina, cumpleaños caninos;;
Pekita's;Calle Siete 01854, Paradero 32, Quilpué, Valparaiso, Chile;90969323;pekitas@miperroyyo.cl;Artículos para mascotas: rascadores para gatos, juguetes con catnip para gatos, collares con diseños exclusivos para perros y gatos, trabitas para perritas, y más...;;
Clínica Veterinaria Magister;Av. Club Hípico 1436, Santiago, Metropolitana De Santiago, Chile;24202794-97194634;Veterinariamagister@gmail.com;Servicios: Vacunas, urgencias, cirugías, veterinario a domicilio,hospital, exámenes de laboratorio, peluquerías, baños sanitarios, hospedaje y fumigaciones. Atención las 24 horas de Lunes a Domingo.;;
Von Dittmar;Flamarión 01127, Quilpué, Valparaiso, Chile;99663474;naska.reload@gmail.com;Criadero familiar con 12 años orientado a criar los mejores cachorros inscritos tanto en estructura como en carácter. ;;
Aquavirtual;Eyzaguirre , Puente Alto, Metropolitana De Santiago, Chile;228728705;contacto@aquavirtual.cl;Nuestra tienda tiene accesorios y  mascotas pequeñas como hamster,conejos ,peces ,corales marinos y kuy     ademas tenemos un amplio surtido de accesorios para animales en general ;;
Pet Shop Juan José Muñoz Cortés;Benjamín Vicuña Mackena 1048, Arica, Arica Y Parinacota, Chile;78260921;juanjose@pdacolombia.com;Natural Pet;;
Criadero Familiar Delibull;Avda. Gral José San Martín 3293.;;;;;
Criadero Von Grumberg;SANTA INES 2913 CASA 051 SAN BERNARDO - STGO, Santiago, Metropolitana De Santiago, Chile;9-9983690;hhnavarrete@hotmail.com;Criadero familiar;;
Clínica Veterinaria Mascotas Talcahuano;Colón 1342, Talcahuano, Biobío, Chile;041-2938528;tabarria@me.com;Consulta veterinaria, Peluquería canina realizada por veterinario, venta de alimentos y accesorios de mascotas.;;
Peluquería Canina Sandra Menares Paredes;Guadalupe 481, San Fernando, San Fernando, Libertador General Bernardo O'Higgins, Chile;9-0915535/8-6350239;smenaresparedes@yahoo.es;Servicio de peluqueria canina, estilista profesional, atención de lunes a domingo, consultas y reserva de hora fonos 90915535 entel/ 86350239 claro.;;
Veterinaria Perros Y Gatos;San Isidro 471 ;;;;;
FAUNALANDIA, SpA;SAN EUGENIO n° 1401 local  LOCAL 01, Ñuñoa, Metropolitana De Santiago, Chile;956445235;faunalandia.cl@gmail.com;PET SHOP Y PELUQUERIA CANINA;;
Criadero Talabull;Camino San Guillermo , Condominio Sta Ysabel  n° Parcela 35 , Talagante, Metropolitana De Santiago, Chile;56962377086;areyes@donoscar.cl;Venta de cachorros Mastin Yngles , desparasitados y vacunados chipiados e inscritos , padres a la vista , excelente carácter , 380000 , solo;;
Compra Ya PETS!;La Capitania , Las Condes, Metropolitana De Santiago, Chile;935434455;comprayaex@gmail.com;SOMOS 100% ONLINE CON ENTREGA GRATIS A LAS CONDES LO BARNECHEA LA REINA VITACURA ÑUÑOA PROVIDENCIA CHICUREO STGO CENTRO.;;
Befoods;Condell 1240, Valparaíso, Valparaiso, Chile;(032)259-2000;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
Pet Shop Kenos;Juan Antonino Ríos 2159, Lagunilla, Coronel, Biobío, Chile;2755122;distribuidorakenos@gmail.com;Horario de atención de lunes a sábados desde las 10:00 hasta 21:00hrs;;
Hotel Felino;San Isidro 471 Local 6, Santiago, Metropolitana De Santiago, Chile;26650352;info@hotelfelino.cl;Hotel para gatitos. Si tienes que salir, cambiarte de casa, nace tu bebe, un viaje, debes hospitalizarte y no tienes donde dejar a tu(s) gatito(s) durante ese periodo, no te preocupes, nosotros lo cuidamos por ti.;;
Covepa;Chorrillos 1349, Puerto Montt, Los Lagos, Chile;(65)270100;puertomontt@covepa.cl;;;
Paola Farías;Padre Orellana 1566 Santiago, Santiago, Metropolitana De Santiago, Chile;09-3091685;paolafariasgonzalez@gmail.com;Casas de lujo para perros;;
Skab’s Diamond ;Av Kennedy  n° 6575, Las Condes, Metropolitana De Santiago, Chile;56894238;contacto@luxurypets.cl;Criadero de chihuahuas! <U+2764><U+FE0F>;;
Pets Medical;Bulnes  n° 1118, Concepción, Biobío, Chile;413280024;petsmedicalch@gmail.com;Clínica, Farmacia, Peluquería Veterinaria, Medicina General y Preventiva, Alimentos y Petshop.;;
Clínica Veterinaria Edenvet Ltda.;Padre Jaime Larrain 65 , Estación Central, Metropolitana De Santiago, Chile;223161240;veterinariaeden@gmail.com;Clínica especializada en Diagnostico por Imagen ;;
Pet Shop Pet Nutrition;Av. Pedro Fontova 6935, Huechuraba, Metropolitana De Santiago, Chile;227210596/50109534;contacto@petnutrition.cl;Somos una empresa dedicada a satisfacer las necesidades de las mascotas, contamos con gran variedad de  alimentos Súper Premium y Premium,Dentro de las marcas que trabajamos se destacan Royal Canin,Eukanuba, Pro Plan y muchas más;;
Centro Haruki;Salar Surire 1245, Pudahuel, Metropolitana De Santiago, Chile;96480676;terapias.naturales.haruki@gmail.com;Ofrezco teapia de flores de bach para perritos. Las esencias de flores de Bach resultan altamente efectivas cuando se trata de controlar problemas emocionales y físicos de las mascotas producidos por diferentes cambios, ya sea un cambio de casa, alumbramiento, entre muchas otras situaciones que pueden afectar la tranquilidad del perro.;;
NutriShop Mascotas;Avenida España / Pasaje Hermanas Peña Donoso #19 Local N° 4 n°  Pasaje Hermanas Peñ local  # 19 Local 4, San Vicente De Tagua Tagua, Libertador General Bernardo O'Higgins, Chile;56442879130;Nutrishop.tienda@gmail.com;Venta de alimentos para mascotas, Sanidad animal, Accesorio.;;
Clínica Veterinaria Animalia;Tadeo Hancke 1200 B. Playa Cavancha, Iquique, Tarapacá, Chile;057/218737;animaliavets@gmail.com;;;
Pet Shop Dog Y Cositas;Carrion 1319, Independencia, Metropolitana De Santiago, Chile;77434390;dogycositas@gmail.com;Venta de cajoneras, escaleras, collares, pinches, bósales, ropa y novedosos artículos perrunos.;;
Mafealan;Av. Grecia 6708, Peñalolén, Metropolitana De Santiago, Chile;22785188;mafealan.casamatriz@gmail.com;Venta de alimentos y medicamentos para mascotas,despacho a domicilio.;;
AnimalsMonkfish;Pasaje Almirante Latorre 2314, Villa Rinconada Oriente., Maipú, Metropolitana De Santiago, Chile;8-3654772;animals.monkfish@gmail.com;Corte de Pelo según raza de su Mascota;;
DOGFULL , Servicio De Peluquería Canina  A Domicilio;Nueva Recoleta 3529, Recoleta, Metropolitana De Santiago, Chile;94467937;emikv17@hotmail.com;Servicio de peluquería canina a domicilio, preferencia sector norte y centro Santiago.;;
FAUNALANDIA, SpA;SAN EUGENIO n° 1401 local  LOCAL 01, Ñuñoa, Metropolitana De Santiago, Chile;956445235;faunalandia.cl@gmail.com;PET SHOP Y PELUQUERIA CANINA;;
Perruqueria ¡Oh My Dog!;Quito n° 8529, Chile;90693358;contacto@perruqueriaohmydog.cl;Somos un grupo conformado por amantes de los animales, creamos nuestra Peluquería Canina. Nuestro principal objetivo es entregar un servicio de calidad siempre considerando como prioridad el bienestar de los animales.;;
Clinica Veterinaria Entre Perros Y Gatos;Av. Las Parcelas 4815, Estación Central, Metropolitana De Santiago, Chile;24198900;entreperros_gatos@yahoo.com;Atencion clinica y hospital veterinario durante las 24 horas todos los dias de la semana;;
Pet Shop Fashion Show Santiago;Monjitas 606, Santiago, Santiago, Metropolitana De Santiago, Chile;26385316;contacto@petfashionshow.cl;Pet Shop, Peluquería Canina y Estética Felina. Venta de Ropa, alimentos, accesorios para mascotas en Barrio Bellas Artes con un muy buen servicio y agradable ambiente.;;
Veterinaria Aguas Claras La Reina;Aguas Claras 1640 La Reina, La Reina, Metropolitana De Santiago, Chile;22775261;anette.kramp@gmail.com;DESDE 1980 33 AÑOS DE EXCELENCIA MEDICA: CONSULTAS VACUNAS CENTRO DE ESTERILIZACION PERRAS Y GATAS-RADIOGRAFIAS_ CIRUGIAS DE ALTA COMPLEJIDAD- EXPERTOS EN CIRUGIA MASCOTAS ANCIANAS- ENDOSCOPIA-HOSPITAL.;;
Clínica Veterinaria Tr3s Vet;Av San Pedro 8, San Pedro, Melipilla, San Pedro, Metropolitana De Santiago, Chile;93552151;tr3svet@gmail.com;Somos un Centro Veterinario orientado a atender las necesidades de sus mascotas así como también asesorar a los productores de la zona y alrededores. Contamos con Farmacia Veterinaria, Servicio de Peluqueria, Atención a Domicilio, entre otras cosas;;
IdentificanQR;Bio Bio 549, Santiago, Metropolitana De Santiago, Chile;5629677571;contacto@identifican.cl;;;
CLÍNICA VETERINARIA TOMÁS MORO;Avenida Tomás Moro 1242;;;;;
Estudio Fotografico Erica Cruz;AV CHESTERTON 8337, Las Condes, Metropolitana De Santiago, Chile;2207020;contacto.fotofantasy@gmail.com;Sesión Macotas;;
K-NES;Consistorial 2413, Peñalolén, Peñalolén, Metropolitana De Santiago, Chile;227101121;knesmascotas@gmail.com;Peluquería canina equipada con elementos de primera generación y calidad en un ambiente de absoluto bienestar y atendidos por personal de vasta experiencia.;;
Von Der Drack;Av. Barros Luco 950 San Antonio, Quinta Region;;;;;
Centro De Imagenología Y Especialidades Medicas ECOVET;DOCTOR OSTORNOL , Recoleta, Metropolitana De Santiago, Chile;226220819;administracion@eco-vet.cl;Ya estamos atendiendo, recuerda agendar tu hora con anticipación, ecografia veterinaria de perros, gatos y mascotas exóticas. reserva tu hora llamando a nuestro #centroecovet, al 226220819, seras atendido por profesionales con mas de 13 años de experiencia.;;
Pet Shop El Mundo Mascotas;LAUTARO 948;;;;;
Clínica Veterinaria Apolo;Salesianos 2290, Pedro Aguirre Cerda, Metropolitana De Santiago, Chile;23104619/25214487;petapolo@gmail.com;SIEMPRE PREOCUPADOS LA SALUD Y BIENESTAR DE SU MASCOTA;;
Covepa;Av. Gramado S/n, Puerto Varas, Los Lagos, Chile;(65)522317;puertovaras@covepa.cl;;;
Pet Shop Fashion Show Santiago;Monjitas 606, Santiago, Santiago, Metropolitana De Santiago, Chile;26385316;contacto@petfashionshow.cl;Pet Shop, Peluquería Canina y Estética Felina. Venta de Ropa, alimentos, accesorios para mascotas en Barrio Bellas Artes con un muy buen servicio y agradable ambiente.;;
"Club Social, Cultural Y Deportivo ""SHIH TZU LOVERS CHILE""";Maipu n° 1116, Santiago, Metropolitana De Santiago, Chile;56997931311;clubshihtzuloverschile@gmail.com;Organizacion Funcional de Mascotas e Inclusion;;
Covepa;Valdivieso 514, Llanquihue, Los Lagos, Chile;(65)240200;llanquihue@covepa.cl;;;
Clínica Veterinaria  Heyne;San Ignacio De Loyola 1205, Santiago, Metropolitana De Santiago, Chile;25558828-25544791;clinicaheyne@gmail.com;Clinica Veterinaria especializada en Terapias Naturales y Medicina Complementaria para mascotas. Acupuntura Veterinaria-Homeopatía- Flores de Bach- Biomagnetismo-Reiki-Fitoterapia.;;
Peluquería Canina Sandra Menares Paredes;Guadalupe 481, San Fernando, San Fernando, Libertador General Bernardo O'Higgins, Chile;9-0915535/8-6350239;smenaresparedes@yahoo.es;Servicio de peluqueria canina, estilista profesional, atención de lunes a domingo, consultas y reserva de hora fonos 90915535 entel/ 86350239 claro.;;
Clínica Veterinaria Guau & Miau;Av. El Olimpo 2051, Maipú, Metropolitana De Santiago, Chile;224016854;veterinariaguauymiau@gmail.com;Somos una clínica veterinaria que nace con el fin de entregar un servicio integral para tu mascota y con todo el cariño que ella necesita;;
Clínica Veterinaria Diverzoovet;Salvador Izquierdo 1918, La Reina, La Reina, Metropolitana De Santiago, Chile;29805465;clinica@diverzoovet.cl;Consultas, Cirugías, Hospital, Exámenes, Farmacia, Venta de Alimentos Hills y Mazuri. Atención a perros, gatos, hurones, tortugas, erizos, aves, reptiles, hamster, conejos y anfibios.;;
Mascoteria Tucán;Avenida Condell 21, Valparaiso, Quillota, Valparaiso, Chile;(033)2510504;Mascoteriatucan@gmail.com;Somos un negocio familiar que siempre ha estado brindándoles soluciones a sus mascotas, procurando siempre mantener precios justos.;;
Clínica Veterinaria Vida Animal;LA ARAUCARIAS 1309 CORONEL, Coronel, Biobío, Chile;041-2104352;vida.animal@live.com;CENTRO MEDICO VETERINARIO VIDA ANIMAL:;;
Pet Shop Lindas Mascotas;Monja Alferez Pasaje Uno 5419 Dpto B Primer Piso,;;;;;
 Metro Departamenta; San Miguel; Metropolitana De Santiago;" Chile""";2-5218460/8-9780713;contactolindasmascotas@gmail.com;Tiendita de venta al por menor de alimentos y accesorios para todo tipo de mascotas.
Pet Shop Petline Chillán;Claudio Arrau 01, Chillán, Biobío, Chile;(42)217710;petline.chillan@hotmail.com;;;
Barki;Av El Rosal n° 6190, Maipú, Metropolitana De Santiago, Chile;978418126;barkistorechile@gmail.com;Venta de accesorios para mascotas. Emprendimiento social que busca ayudar a través de donaciones (30% de sus ventas) a fundaciones que se dedican a salvar vidas de peludos en situación de calle. ;;
